name,start,salary,target,debut
Archie Goodwin,2016,914193.0,0.009710685,2013
Archie Goodwin,2017,1577230.0,0.015916664,2013
Arinze Onuaku,2016,980431.0,0.010414274,2013
Armoni Brooks,2021,1430252.0,0.012249523666666666,2019
Armoni Brooks,2022,1836090.0,0.01484849,2019
Aron Baynes,2015,6500000.0,0.079199235,2012
Aron Baynes,2017,4328000.0,0.043676143,2012
Aron Baynes,2018,5323440.0,0.052257704,2012
Aron Baynes,2020,7175000.0,0.06574125,2012
Arron Afflalo,2015,8000000.0,0.114285714,2007
Arron Afflalo,2016,12500000.0,0.132776733,2007
Arron Afflalo,2017,2328652.0,0.023499662,2007
Ashton Hagans,2021,1489065.0,0.013246259,2020
Ashton Hagans,2023,906062.0,0.0067616685,2020
Austin Reaves,2023,13456968.0,0.095049629,2021
Austin Rivers,2015,3227451.0,0.046106443,2012
Austin Rivers,2016,11825000.0,0.122389203,2012
Austin Rivers,2018,1155323.0,0.011341262,2012
Austin Rivers,2019,2271991.0,0.020817216,2012
Austin Rivers,2020,1203677.6666666667,0.010878682,2012
Austin Rivers,2021,2401537.0,0.021363327,2012
Austin Rivers,2022,2905851.0,0.023499664,2012
Avery Bradley,2014,8000000.0,0.105630083,2010
Avery Bradley,2018,12480000.0,0.122510283,2010
Avery Bradley,2019,4886175.0,0.044769791,2010
Avery Bradley,2020,5635000.0,0.051630933,2010
Avery Bradley,2021,2641691.0,0.023499662,2010
Axel Toupane,2010,3277524.0,0.056466198,2015
Axel Toupane,2014,5479933.0,0.086893412,2015
Axel Toupane,2016,748554.0,0.007951244,2015
Axel Toupane,2017,3558477.5,0.035910483,2015
Axel Toupane,2018,1892571.6666666667,0.018578484666666666,2015
Axel Toupane,2019,289803.0,0.002655333,2015
Axel Toupane,2020,1620564.0,0.014848488,2015
Axel Toupane,2021,1729217.0,0.015382577,2015
Ayo Dosunmu,2023,7000000.0,0.050541516,2021
B.J. Johnson,2019,1445697.0,0.013246262,2018
B.J. Johnson,2020,1620564.0,0.014848488,2018
B.J. Johnson,2021,1669178.0,0.014848489,2018
Bam Adebayo,2021,32600060.0,0.254157316,2017
Ben McLemore,2017,5330000.0,0.053787856,2013
Ben McLemore,2019,2155814.0,0.01975274,2013
Ben McLemore,2020,610596.0,0.005594612,2013
Ben McLemore,2021,2389641.0,0.021257504,2013
Ben Moore,2018,1349383.0,0.013246257,2017
Ben Simmons,2020,35448672.0,0.295893207,2016
Beno Udrih,2016,1551659.0,0.016481937,2004
Beno Udrih,2017,2328652.0,0.023499662,2004
Billy Garrett,2018,440549.0,0.004324662,2017
Bismack Biyombo,2015,2877315.0,0.0411045,2011
Bismack Biyombo,2016,18000000.0,0.182985717,2011
Bismack Biyombo,2020,3500000.0,0.032068902,2011
Bismack Biyombo,2021,690787.0,0.0061450260000000005,2011
Bismack Biyombo,2022,2905851.0,0.023499664,2011
Bismack Biyombo,2023,3097037.5,0.02311222,2011
Blake Griffin,2013,18907725.0,0.264548231,2009
Blake Griffin,2017,34234964.0,0.326636778,2009
Blake Griffin,2020,1229676.0,0.01126696,2009
Blake Griffin,2021,2641691.0,0.023499662,2009
Blake Griffin,2022,2905851.0,0.023499664,2009
Boban Marjanovic,2015,1200000.0,0.017142857,2010
Boban Marjanovic,2016,7000000.0,0.072450268,2012
Boban Marjanovic,2019,3500000.0,0.032068902,2012
Boban Marjanovic,2021,3500000.0,0.031134912,2012
Boban Marjanovic,2022,807005.0,0.006526263,2012
