name,start,salary,target,debut,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Al Jefferson,2016,10000000.0,0.103500383,2004,C,30,71.8,71.0,33.72,8.28,16.68,0.4944,0.0,0.12,0.1936,8.22,16.58,0.4966,0.4952,2.26,3.1,0.73,2.14,7.4,9.54,1.98,0.8,1.42,1.26,2.42,18.8
Al-Farouq Aminu,2013,3749602.0,0.063900237,2010,SF,21,73.5,17.5,20.15,2.15,5.25,0.4025,0.4,1.25,0.296,1.75,4.0,0.434,0.4395,1.2,1.6,0.7635,1.15,2.8,4.0,0.85,0.8,0.4,1.35,1.8,5.8
Al-Farouq Aminu,2014,981084.0,0.015556711,2010,SF,22,74.33333333,35.33333333,22.5,2.433333333,5.566666667,0.426666667,0.3,0.933333333,0.267666667,2.133333333,4.666666667,0.451333333,0.452666667,1.233333333,1.666666667,0.754666667,1.366666667,3.833333333,5.233333333,1.033333333,0.933333333,0.5,1.4,1.866666667,6.3
Al-Farouq Aminu,2015,7500000.0,0.085474631,2010,SF,23,75.75,42.75,23.275,2.55,5.725,0.4385,0.275,0.85,0.2685,2.3,4.9,0.4625,0.46125,1.2,1.675,0.732,1.425,4.025,5.475,1.125,0.95,0.5,1.325,1.85,6.525
Al-Farouq Aminu,2019,9720900.0,0.089068169,2010,PF,27,73.2,48.4,26.34,2.96,7.16,0.418,1.02,3.0,0.321,1.96,4.18,0.4652,0.484,1.22,1.72,0.7114,1.4,4.98,6.38,1.34,0.98,0.64,1.18,1.9,8.2
Al-Farouq Aminu,2021,15182.0,0.000135054,2010,PF,29,62.2,51.4,27.4,2.9,7.38,0.3856,1.22,3.64,0.3306,1.68,3.78,0.4358,0.4662,1.38,1.8,0.7406,1.32,5.36,6.68,1.4,0.96,0.54,1.18,1.82,8.38
Alan Anderson,2015,4000000.0,0.057142857,2005,SF,31,53.33333333,13.33333333,24.26666667,3.1,8.033333333,0.39,1.333333333,3.733333333,0.355,1.8,4.3,0.424333333,0.473,1.6,1.933333333,0.83,0.5,1.666666667,2.166666667,1.366666667,0.533333333,0.133333333,1.166666667,2.0,9.166666667
Alan Anderson,2016,1315448.0,0.013972871,2005,SG,32,58.5,14.75,24.1,2.975,7.5,0.40325,1.25,3.5,0.35325,1.75,4.0,0.45075,0.48625,1.475,1.8,0.8255,0.475,1.825,2.325,1.3,0.6,0.125,1.075,2.0,8.725
Alan Williams,2017,5666667.0,0.056395408,2015,PF,23,10.0,0.0,6.8,1.0,2.4,0.417,0.0,0.0,0.0,1.0,2.4,0.417,0.417,0.9,1.4,0.643,1.4,2.4,3.8,0.5,0.4,0.5,0.6,1.5,2.9
Alec Burks,2015,10500000.0,0.119664484,2011,SG,22,67.0,4.0,20.6,3.333333333,7.633333333,0.435333333,0.466666667,1.333333333,0.347333333,2.833333333,6.233333333,0.453666667,0.466666667,2.266666667,3.066666667,0.729333333,0.8,1.833333333,2.6,1.666666667,0.633333333,0.166666667,1.333333333,1.866666667,9.4
Alec Burks,2019,2320044.0,0.021257504,2011,SG,26,48.4,8.6,23.82,3.78,9.0,0.416,0.78,2.16,0.3594,2.96,6.8,0.4366,0.4618,2.8,3.58,0.7908,0.54,2.84,3.38,1.88,0.62,0.14,1.42,1.9,11.12
Alec Burks,2020,6000000.0,0.054975261,2011,SG,27,58.4,15.8,21.995,3.325,8.14,0.40795,0.82,2.255,0.34505,2.48,5.87,0.4366,0.45775,2.395,3.005,0.80605,0.46,2.885,3.345,1.685,0.555,0.155,1.22,1.67,9.845
Alec Burks,2021,10012800.0,0.084829435,2011,SF-SG,28,79.4,18.0,20.38833333,3.378333333,8.146666666,0.413016667,0.98,2.661666667,0.34705,2.373333333,5.483333333,0.445666667,0.470083333,2.261666667,2.778333333,0.81585,0.46,2.845,3.311666667,1.625,0.608333333,0.161666667,1.093333333,1.543333333,9.951666666
Aleem Ford,2022,1637966.0,0.013246258,2021,SF,24,5.0,0.0,14.8,1.2,4.0,0.3,0.4,3.0,0.133,0.8,1.0,0.8,0.35,0.0,0.0,0.0,0.4,2.6,3.0,0.4,0.2,0.0,0.8,1.4,2.8
Aleem Ford,2023,1801769.0,0.013446037,2021,SF,24,5.0,0.0,14.8,1.2,4.0,0.3,0.4,3.0,0.133,0.8,1.0,0.8,0.35,0.0,0.0,0.0,0.4,2.6,3.0,0.4,0.2,0.0,0.8,1.4,2.8
Aleksej Pokusevski,2023,1419214.0,0.010591149,2020,PF,20,53.0,20.0,22.2,3.05,8.3,0.3745,1.1,3.9,0.2845,1.95,4.35,0.4505,0.441,0.65,0.85,0.719,0.95,4.0,4.95,2.15,0.5,0.75,1.85,1.35,7.9
Alex Caruso,2019,2750000.0,0.025196995,2016,PG,23,37.0,7.0,15.2,1.4,3.1,0.431,0.4,1.2,0.302,1.0,2.0,0.507,0.487,0.6,0.8,0.7,0.4,1.4,1.8,2.0,0.6,0.3,1.1,1.4,3.6
Alex Caruso,2021,9245000.0,0.074945483,2016,PG,25,42.0,4.333333333,18.26666667,2.133333333,4.833333333,0.429333333,0.666666667,1.7,0.371666667,1.466666667,3.2,0.468666667,0.494,1.233333333,1.633333333,0.743666667,0.5,1.666666667,2.133333333,2.333333333,0.9,0.333333333,1.2,1.7,6.1
Alex Len,2017,4187598.0,0.042259272,2013,C,22,63.0,31.0,17.96666667,2.266666667,5.0,0.451,0.0,0.0333333333,0.158666667,2.266666667,4.966666667,0.452666667,0.451666667,1.266666667,1.766666667,0.691666667,1.766666667,3.733333333,5.533333333,0.6,0.366666667,0.9,1.2,2.533333333,5.766666667
Alex Len,2018,4255000.0,0.041769331,2013,C,23,66.5,31.75,18.55,2.45,5.25,0.4625,0.0,0.075,0.1815,2.425,5.2,0.46525,0.46375,1.425,2.0,0.699,1.825,3.95,5.8,0.6,0.4,1.0,1.225,2.675,6.325
Alex Len,2020,1977877.5,0.0181223885,2013,C,25,74.0,33.6,21.18,3.26,6.6,0.4974,0.2,0.58,0.2844,3.04,6.02,0.512,0.51,1.86,2.68,0.6966,2.2,4.58,6.76,0.92,0.46,1.08,1.34,2.8,8.58
Alex Len,2021,3825300.0,0.03402868,2013,C,26,82.2,29.6,20.19333333,3.346666667,6.66,0.508933333,0.253333333,0.76,0.297,3.073333333,5.9,0.532533333,0.525933333,1.88,2.746666667,0.6886,2.153333333,4.48,6.62,0.986666667,0.433333333,0.96,1.326666667,2.64,8.826666667
Alex Len,2023,3196448.0,0.02385409,2013,C,28,84.6,32.4,17.45333333,2.966666667,5.453333333,0.547333333,0.333333333,0.906666667,0.3478,2.646666667,4.54,0.579733333,0.578533333,1.46,2.213333333,0.646666667,1.726666667,3.553333333,5.273333333,1.0,0.34,0.853333333,1.093333333,2.326666667,7.693333333
Alfonzo McKinnie,2018,1409095.0,0.013832422,2017,SF,25,14.0,0.0,3.8,0.6,1.1,0.533,0.2,0.6,0.333,0.4,0.4,0.833,0.633,0.1,0.2,0.667,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.6,1.5
Alfonzo McKinnie,2019,1834739.0,0.016644442,2017,SF,25,14.0,0.0,3.8,0.6,1.1,0.533,0.2,0.6,0.333,0.4,0.4,0.833,0.633,0.1,0.2,0.667,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.6,1.5
Alfonzo McKinnie,2021,527851.6666666666,0.004695604,2017,SF,27,42.0,2.0,10.83333333,1.433333333,3.066666667,0.482333333,0.4,1.266666667,0.301333333,1.066666667,1.766666667,0.658666667,0.555,0.366666667,0.566666667,0.646666667,0.7,1.533333333,2.233333333,0.3,0.333333333,0.166666667,0.433333333,1.433333333,3.6
Alize Johnson,2020,996471.0,0.0090689296666666,2018,PF,22,14.0,0.0,4.6,0.3,1.1,0.25,0.1,0.1,0.5,0.2,1.0,0.214,0.281,0.3,0.6,0.5,0.3,1.1,1.4,0.1,0.1,0.2,0.0,0.5,0.9
Alize Johnson,2021,906953.5,0.0080679734999999,2018,PF,23,15.5,0.5,5.75,0.5,1.4,0.332,0.15,0.3,0.4375,0.35,1.1,0.3215,0.3735,0.35,0.6,0.6,0.6,1.5,2.1,0.25,0.15,0.15,0.2,0.6,1.45
Alize Johnson,2022,1730636.5,0.0139956855,2018,PF,24,16.33333333,0.333333333,7.333333333,1.066666667,2.2,0.417333333,0.133333333,0.3,0.347333333,0.966666667,1.866666667,0.424,0.447666667,0.466666667,0.633333333,0.733333333,0.9,2.166666667,3.066666667,0.433333333,0.2,0.2,0.3,0.7,2.7
Allen Crabbe,2016,18708125.0,0.190184426,2013,SG,22,33.0,4.5,10.05,1.0,2.6,0.388,0.5,1.3,0.391,0.5,1.3,0.4005,0.4825,0.2,0.3,0.75,0.1,0.9,1.0,0.6,0.25,0.2,0.25,1.1,2.75
Alonzo Gee,2015,1349700.0,0.019281429,2009,SF,26,66.6,41.4,21.41,2.57,6.045,0.42725,0.515,1.435,0.3824,2.055,4.605,0.44085,0.4679,1.58,2.115,0.6943,1.065,2.28,3.35,1.04,0.865,0.255,1.17,1.76,7.29
Alonzo Gee,2016,874197.6666666666,0.0092858486666666,2009,SF,27,86.0,41.8,20.47666667,2.383333333,5.645,0.424183333,0.441666667,1.401666667,0.297533333,1.941666667,4.251666667,0.454183333,0.459766667,1.433333333,1.855,0.699366667,0.911666667,2.18,3.09,1.013333333,0.865,0.261666667,1.103333333,1.74,6.663333333
Amile Jefferson,2019,1641324.0,0.015038703,2017,PF,25,12.0,0.0,5.7,0.8,1.3,0.625,0.0,0.0,0.0,0.8,1.3,0.625,0.625,0.6,0.7,0.875,0.5,1.3,1.8,0.3,0.3,0.3,0.1,0.7,2.3
Amile Jefferson,2020,1620564.0,0.014848488,2017,PF,25,12.0,0.0,5.7,0.8,1.3,0.625,0.0,0.0,0.0,0.8,1.3,0.625,0.625,0.6,0.7,0.875,0.5,1.3,1.8,0.3,0.3,0.3,0.1,0.7,2.3
Amir Coffey,2021,153488.0,0.001365382,2019,SG,22,18.0,1.0,8.8,1.3,3.0,0.426,0.3,1.1,0.316,0.9,1.9,0.486,0.481,0.3,0.6,0.545,0.2,0.7,0.9,0.8,0.3,0.1,0.4,1.1,3.2
Amir Coffey,2022,3666667.0,0.028461835,2019,SG,23,31.0,1.0,8.9,1.15,2.65,0.4315,0.4,1.2,0.3635,0.7,1.5,0.477,0.515,0.45,0.75,0.628,0.2,0.75,0.95,0.65,0.25,0.05,0.35,0.9,3.2
Amir Johnson,2015,12000000.0,0.171428571,2005,PF,26,75.2,42.4,25.04,3.62,6.34,0.5766,0.08,0.24,0.2176,3.54,6.1,0.5858,0.5814,1.36,1.9,0.6958,2.36,3.94,6.34,1.18,0.68,1.12,1.26,3.46,8.66
Amir Johnson,2017,11000000.0,0.111006832,2005,PF,28,75.2,60.2,26.2,3.78,6.6,0.5702,0.16,0.46,0.3468,3.6,6.14,0.5888,0.5808,1.16,1.74,0.647,2.34,4.22,6.6,1.5,0.7,1.1,1.44,3.24,8.82
Amir Johnson,2018,2393887.0,0.023499661,2005,PF,29,78.4,67.0,25.36,3.7,6.46,0.5702,0.22,0.6,0.3486,3.46,5.86,0.5954,0.5874,1.14,1.74,0.643,2.18,4.04,6.24,1.62,0.72,1.04,1.34,3.1,8.7
Andre Drummond,2016,25434263.0,0.251671763,2012,C,21,74.33333333,57.66666667,27.83333333,5.133333333,8.966666667,0.581666667,0.0,0.0,0.166666667,5.133333333,8.966666667,0.583,0.582333333,1.466666667,3.733333333,0.392666667,4.5,6.9,11.43333333,0.533333333,1.033333333,1.7,1.3,3.1,11.73333333
Andre Drummond,2020,794536.0,0.007279971,2012,C,25,80.2,80.2,32.06,6.38,12.12,0.5254,0.02,0.16,0.1502,6.34,11.98,0.5306,0.5264,2.44,5.28,0.465,5.0,9.72,14.74,1.4,1.42,1.54,2.02,3.2,15.18
Andre Drummond,2021,2401537.0,0.021363327,2012,C,26,86.6,86.2,32.28666667,6.64,12.5,0.530266667,0.06,0.346666667,0.182,6.56,12.16666667,0.540266667,0.5328,2.666666667,5.4,0.498666667,4.74,10.10666667,14.84666667,1.746666667,1.6,1.473333333,2.44,3.18,15.95333333
Andre Drummond,2022,3280000.0,0.026525413,2012,C,27,88.8,88.4,31.08666667,6.493333333,12.32666667,0.525933333,0.06,0.36,0.1154,6.413333333,11.98666667,0.536866667,0.528266667,2.68,4.846666667,0.5478,4.473333333,9.786666666,14.26666667,1.986666667,1.573333333,1.413333333,2.586666667,3.233333333,15.66666667
Andre Iguodala,2017,16000000.0,0.159234084,2004,SF,32,69.4,41.2,31.24,3.76,8.12,0.4658,1.02,2.94,0.353,2.72,5.2,0.5354,0.5312,1.4,2.3,0.6106,0.82,3.86,4.68,4.3,1.44,0.42,1.68,1.52,9.9
Andre Iguodala,2020,15000000.0,0.137438153,2004,SF,35,70.0,4.2,25.66,2.62,5.4,0.487,0.76,2.28,0.3354,1.84,3.12,0.5986,0.558,0.82,1.3,0.626,0.72,3.08,3.76,3.26,1.0,0.5,0.98,1.42,6.82
Andre Iguodala,2021,2641691.0,0.023499662,2004,SF,36,58.8,4.2,24.26,2.38,4.96,0.4802,0.7,2.16,0.3252,1.66,2.78,0.605,0.5522,0.7,1.14,0.5868,0.76,3.1,3.84,3.14,0.9,0.64,1.0,1.5,6.18
Andre Iguodala,2022,2905851.0,0.023499664,2004,SF,37,58.4,5.0,23.2,2.14,4.6,0.4612,0.74,2.26,0.321,1.4,2.32,0.597,0.5426,0.62,1.0,0.5956,0.72,3.04,3.74,2.92,0.86,0.7,0.98,1.46,5.66
Andre Miller,2015,948015.5,0.0135430785,1999,SG,37,85.4,33.8,26.73333333,3.78,8.313333333,0.4562,0.18,0.793333333,0.270933333,3.586666667,7.54,0.4758,0.469066667,2.426666667,2.946666667,0.822133333,0.833333333,2.253333333,3.06,5.68,1.0,0.113333333,2.073333333,1.88,10.17333333
Andrew Bogut,2016,383351.0,0.004072007,2005,C,30,48.6,48.2,28.04,3.96,7.88,0.517,0.0,0.04,0.2,3.96,7.86,0.5174,0.5176,0.78,1.6,0.4838,2.36,6.66,9.04,2.22,0.72,1.96,1.6,2.98,8.7
Andrew Bogut,2017,2328652.0,0.023499662,2005,C,31,49.6,48.4,25.12,3.34,6.4,0.5434,0.0,0.02,0.4,3.34,6.38,0.5432,0.5444,0.54,1.08,0.4914,2.08,6.12,8.22,2.28,0.68,1.76,1.46,2.96,7.22
Andrew Bogut,2018,486892.0,0.004779589,2005,C,32,58.0,54.4,22.06,2.513333333,4.546666667,0.516133333,0.0,0.0,0.4,2.513333333,4.526666667,0.516133333,0.517133333,0.313333333,0.753333333,0.406,2.006666667,5.633333333,7.66,2.006666667,0.546666667,1.486666667,1.28,2.92,5.353333333
