name,debut,start,end,salary,birth,target,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Al Horford,2007,2016,2019,28331557,1986,0.28802,C,54.4,54.4,32.88,6.9,12.74,0.5412,0.26,0.84,0.3028,6.62,11.9,0.5558,0.552,1.7,2.38,0.7232,2.16,5.84,8.02,2.88,0.92,1.34,1.66,1.92,15.76
Al Horford,2007,2019,2022,27250000,1986,0.24721,C,73.2,73.2,31.1,5.94,11.68,0.508,0.98,2.66,0.3588,4.96,9,0.5492,0.5514,1.34,1.72,0.7922,1.62,5.44,7.08,4.06,0.8,1.3,1.52,1.88,14.18
Al Horford,2007,2023,2024,9750000,1986,0.07276,C,54.33333333,52.33333333,29.03333333,5.433333333,11.36666667,0.478333333,1.533333333,4.2,0.359333333,3.9,7.133333333,0.543333333,0.544666667,0.866666667,1.133333333,0.800666667,1.433333333,5.333333333,6.733333333,3.866666667,0.866666667,1.033333333,1.233333333,1.9,13.23333333
Al Jefferson,2004,2008,2012,13000000,1985,0.22369,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Jefferson,2004,2013,2015,13500000,1985,0.22178,C,74.25,74.25,33.85,7.925,15.975,0.495,0,0.1,0.092,7.9,15.9,0.49725,0.4955,2.35,3.175,0.74625,2.375,7.075,9.45,1.975,0.8,1.5,1.35,2.575,18.175
Al Jefferson,2004,2016,2018,10000000,1993,0.1035,C,64.8,58.2,31.2,7.72,15.6,0.4922,0,0.12,0.1936,7.66,15.5,0.4944,0.493,2.02,2.88,0.7076,1.8,7.08,8.88,1.92,0.8,1.22,1.14,2.34,17.48
Al Jefferson,2004,2016,2018,10000000,1985,0.1035,C,64.8,58.2,31.2,7.72,15.6,0.4922,0,0.12,0.1936,7.66,15.5,0.4944,0.493,2.02,2.88,0.7076,1.8,7.08,8.88,1.92,0.8,1.22,1.14,2.34,17.48
Alan Anderson,2005,2015,2015,4000000,1982,0.05714,SF,58.5,14.75,24.1,2.975,7.5,0.40325,1.25,3.5,0.35325,1.75,4,0.45075,0.48625,1.475,1.8,0.8255,0.475,1.825,2.325,1.3,0.6,0.125,1.075,2,8.725
Alan Anderson,2005,2016,2016,1315448,1982,0.01397,SF,49.4,11.8,22.24,2.7,6.9,0.3938,1.18,3.36,0.3474,1.54,3.54,0.4424,0.4806,1.34,1.68,0.807,0.4,1.86,2.28,1.26,0.54,0.12,0.9,1.98,7.98
Alan Williams,2015,2017,2019,5666667,1993,0.0564,PF,28.5,0,10.95,1.95,4.05,0.467,0,0,0,1.95,4.05,0.468,0.467,1.2,1.9,0.634,1.7,3.3,5,0.5,0.5,0.6,0.7,2.1,5.15
Alec Burks,2011,2015,2018,10500000,1991,0.11966,SG,57,9.75,23.775,3.625,8.5,0.42725,0.6,1.625,0.356,3,6.825,0.4425,0.46175,2.675,3.5,0.7525,0.775,2.25,3,2,0.625,0.175,1.475,2,10.525
Alec Burks,2011,2021,2023,10012800,1991,0.08483,SG,41.5,9.2,20.93,3.42,8.16,0.4182,1.2,3.17,0.3364,2.2,5.02,0.459,0.4832,2.12,2.49,0.8398,0.48,3.02,3.51,1.89,0.65,0.23,1.01,1.48,10.09
Alec Burks,2011,2020,2020,6000000,1991,0.05498,SG,39.7,9,20.94,3.43,8.22,0.4172,1.09,2.92,0.3354,2.32,5.32,0.4577,0.4768,2.25,2.7,0.8294,0.49,2.9,3.4,1.87,0.65,0.21,1.07,1.5,10.15
Alec Burks,2011,2019,2019,2320044,1991,0.02126,SG,36.5,9.875,20.8625,3.0625,7.4875,0.41125,0.8125,2.2625,0.32,2.225,5.225,0.452875,0.461125,2.0875,2.6,0.812875,0.4375,2.825,3.2625,1.7,0.5625,0.2,1.1,1.5125,9.0125
Aleem Ford,2021,2023,2023,1801769,1997,0.01345,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleem Ford,2021,2022,2022,1637966,1997,0.01325,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksej Pokusevski,2020,2023,2024,1419214,2001,0.01059,PF,45,28,24.2,3.1,9.1,0.341,1.3,4.6,0.28,1.8,4.5,0.403,0.412,0.7,0.9,0.738,0.7,4,4.7,2.2,0.4,0.9,2.2,1.3,8.2
Alex Caruso,2016,2021,2024,9245000,1994,0.07495,PG,46,4.75,18.95,2.175,4.95,0.431,0.725,1.875,0.379,1.425,3.125,0.4675,0.502,1.125,1.55,0.719,0.5,1.85,2.325,2.45,0.95,0.325,1.225,1.75,6.175
Alex Caruso,2016,2019,2020,2750000,1994,0.0252,PG,31,5.5,18.2,2.25,5,0.438,0.7,1.6,0.391,1.55,3.45,0.469,0.5005,1.3,1.7,0.7485,0.6,1.65,2.25,2.55,0.8,0.35,1.4,1.8,6.4
Alex Len,2013,2017,2017,4187598,1993,0.04226,C,66.5,31.75,18.55,2.45,5.25,0.4625,0,0.075,0.1815,2.425,5.2,0.46525,0.46375,1.425,2,0.699,1.825,3.95,5.8,0.6,0.4,1,1.225,2.675,6.325
Alex Len,2013,2018,2019,4255000,1993,0.04177,C,67,28,18.88,2.58,5.3,0.4832,0,0.06,0.2118,2.56,5.24,0.4858,0.4844,1.6,2.26,0.696,1.96,4.16,6.14,0.72,0.4,0.98,1.2,2.6,6.76
Alex Len,2013,2021,2022,3825300,1993,0.03403,C,51.22222222,20.66666667,17.08888889,2.855555556,5.166666667,0.553888889,0.266666667,0.788888889,0.357444444,2.566666667,4.4,0.583444444,0.587666667,1.366666667,2.1,0.644888889,1.644444444,3.611111111,5.266666667,0.822222222,0.344444444,0.966666667,1.066666667,2.266666667,7.355555556
Alex Len,2013,2023,2023,3196448,1993,0.02385,C,45,19.85714286,16.18571429,2.8,5,0.560285714,0.342857143,0.985714286,0.376285714,2.442857143,4.042857143,0.597142857,0.603142857,1.157142857,1.842857143,0.628428571,1.471428571,3.271428571,4.757142857,0.8,0.314285714,0.928571429,1.028571429,2.142857143,7.1
Alex Len,2013,2020,2020,2258000,1993,0.02069,C,58.71428571,21.14285714,19.3,3.257142857,6.3,0.524857143,0.257142857,0.8,0.325285714,2.985714286,5.5,0.555142857,0.543571429,1.685714286,2.485714286,0.681,2.071428571,4.342857143,6.414285714,0.942857143,0.414285714,0.942857143,1.242857143,2.542857143,8.457142857
Alex Len,2013,2020,2020,1697755,1993,0.01556,C,58.71428571,21.14285714,19.3,3.257142857,6.3,0.524857143,0.257142857,0.8,0.325285714,2.985714286,5.5,0.555142857,0.543571429,1.685714286,2.485714286,0.681,2.071428571,4.342857143,6.414285714,0.942857143,0.414285714,0.942857143,1.242857143,2.542857143,8.457142857
Alex Poythress,2016,2017,2018,1161810,1993,0.01172,PF,6,1,26.2,4.2,9,0.463,1,3.2,0.316,3.2,5.8,0.543,0.519,1.3,1.7,0.8,1.8,3,4.8,0.8,0.5,0.3,0.5,2.3,10.7
Alex Stepheson,2011,2015,2015,525093,1987,0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Stepheson,2011,2015,2015,3089,1987,0.00004,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Ajinca,2008,2015,2018,5050000,1988,0.05755,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Farouq Aminu,2010,2019,2021,9720900,1990,0.08907,SF,73.4,51.6,26.88,3.02,7.38,0.4098,1.22,3.58,0.3354,1.8,3.84,0.4688,0.4894,1.38,1.8,0.752,1.36,5.28,6.64,1.32,0.94,0.62,1.14,1.9,8.64
Al-Farouq Aminu,2010,2015,2018,7500000,1990,0.08547,SF,75.4,34.8,22.32,2.44,5.54,0.4332,0.32,1.02,0.2696,2.14,4.54,0.467,0.4608,1.18,1.66,0.728,1.44,3.84,5.3,1.06,0.94,0.56,1.2,1.86,6.34
Al-Farouq Aminu,2010,2013,2013,3749602,1990,0.0639,SF,74.33333333,35.33333333,22.5,2.433333333,5.566666667,0.426666667,0.3,0.933333333,0.267666667,2.133333333,4.666666667,0.451333333,0.452666667,1.233333333,1.666666667,0.754666667,1.366666667,3.833333333,5.233333333,1.033333333,0.933333333,0.5,1.4,1.866666667,6.3
Al-Farouq Aminu,2010,2014,2014,981084,1990,0.01556,SF,75.75,42.75,23.275,2.55,5.725,0.4385,0.275,0.85,0.2685,2.3,4.9,0.4625,0.46125,1.2,1.675,0.732,1.425,4.025,5.475,1.125,0.95,0.5,1.325,1.85,6.525
Al-Farouq Aminu,2010,2021,2021,15182,1990,0.00014,PF,39.28571429,29,22.88571429,2.142857143,5.614285714,0.357142857,0.785714286,2.614285714,0.271571429,1.357142857,3.028571429,0.420714286,0.420857143,1.114285714,1.414285714,0.772571429,1.128571429,4.671428571,5.814285714,1.228571429,0.857142857,0.428571429,1.085714286,1.542857143,6.157142857
Alfonzo McKinnie,2017,2019,2022,1834739,1992,0.01664,SF,43,2.5,8.85,1.25,2.45,0.51,0.4,1.1,0.3445,0.85,1.3,0.7095,0.5985,0.25,0.45,0.615,0.6,1.35,1.95,0.25,0.2,0.15,0.3,1.25,3.1
Alfonzo McKinnie,2017,2018,2019,1468807,1992,0.01442,SF,14,0,3.8,0.6,1.1,0.533,0.2,0.6,0.333,0.4,0.4,0.833,0.633,0.1,0.2,0.667,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.6,1.5
Alfonzo McKinnie,2017,2021,2022,1563163,1992,0.01391,SF,41.25,1.5,9.775,1.375,2.9,0.49075,0.4,1.2,0.3285,1,1.675,0.64225,0.56675,0.35,0.55,0.624,0.675,1.35,2.025,0.275,0.3,0.125,0.35,1.25,3.475
Alfonzo McKinnie,2017,2018,2018,1349383,1992,0.01325,SF,14,0,3.8,0.6,1.1,0.533,0.2,0.6,0.333,0.4,0.4,0.833,0.633,0.1,0.2,0.667,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.6,1.5
Alfonzo McKinnie,2017,2021,2021,10283,1992,0.00009,SF,41.25,1.5,9.775,1.375,2.9,0.49075,0.4,1.2,0.3285,1,1.675,0.64225,0.56675,0.35,0.55,0.624,0.675,1.35,2.025,0.275,0.3,0.125,0.35,1.25,3.475
Alfonzo McKinnie,2017,2021,2021,10109,1992,0.00009,SF,41.25,1.5,9.775,1.375,2.9,0.49075,0.4,1.2,0.3285,1,1.675,0.64225,0.56675,0.35,0.55,0.624,0.675,1.35,2.025,0.275,0.3,0.125,0.35,1.25,3.475
Alfonzo McKinnie,2017,2019,2019,9156,1992,0.00008,SF,43,2.5,8.85,1.25,2.45,0.51,0.4,1.1,0.3445,0.85,1.3,0.7095,0.5985,0.25,0.45,0.615,0.6,1.35,1.95,0.25,0.2,0.15,0.3,1.25,3.1
Alize Johnson,2018,2021,2022,1803969,1996,0.01605,PF,16.33333333,0.333333333,7.333333333,1.066666667,2.2,0.417333333,0.133333333,0.3,0.347333333,0.966666667,1.866666667,0.424,0.447666667,0.466666667,0.633333333,0.733333333,0.9,2.166666667,3.066666667,0.433333333,0.2,0.2,0.3,0.7,2.7
Alize Johnson,2018,2022,2022,1968175,1996,0.01592,PF,16.33333333,0.333333333,7.333333333,1.066666667,2.2,0.417333333,0.133333333,0.3,0.347333333,0.966666667,1.866666667,0.424,0.447666667,0.466666667,0.633333333,0.733333333,0.9,2.166666667,3.066666667,0.433333333,0.2,0.2,0.3,0.7,2.7
Alize Johnson,2018,2020,2020,1620564,1996,0.01485,PF,15.5,0.5,5.75,0.5,1.4,0.332,0.15,0.3,0.4375,0.35,1.1,0.3215,0.3735,0.35,0.6,0.6,0.6,1.5,2.1,0.25,0.15,0.15,0.2,0.6,1.45
Alize Johnson,2018,2020,2022,1357749,1996,0.01226,PF,15.5,0.5,5.75,0.5,1.4,0.332,0.15,0.3,0.4375,0.35,1.1,0.3215,0.3735,0.35,0.6,0.6,0.6,1.5,2.1,0.25,0.15,0.15,0.2,0.6,1.45
Alize Johnson,2018,2022,2022,1493098,1996,0.01207,PF,16.33333333,0.333333333,7.333333333,1.066666667,2.2,0.417333333,0.133333333,0.3,0.347333333,0.966666667,1.866666667,0.424,0.447666667,0.466666667,0.633333333,0.733333333,0.9,2.166666667,3.066666667,0.433333333,0.2,0.2,0.3,0.7,2.7
Alize Johnson,2018,2020,2020,11100,1996,0.0001,PF,15.5,0.5,5.75,0.5,1.4,0.332,0.15,0.3,0.4375,0.35,1.1,0.3215,0.3735,0.35,0.6,0.6,0.6,1.5,2.1,0.25,0.15,0.15,0.2,0.6,1.45
Alize Johnson,2018,2021,2021,9938,1996,0.00009,PF,16.33333333,0.333333333,7.333333333,1.066666667,2.2,0.417333333,0.133333333,0.3,0.347333333,0.966666667,1.866666667,0.424,0.447666667,0.466666667,0.633333333,0.733333333,0.9,2.166666667,3.066666667,0.433333333,0.2,0.2,0.3,0.7,2.7
Allen Crabbe,2013,2016,2019,18708125,1992,0.19018,SG,49,5.666666667,15.36666667,1.933333333,4.533333333,0.411666667,0.8,2.033333333,0.391666667,1.166666667,2.5,0.435666667,0.502,0.533333333,0.666666667,0.789,0.166666667,1.366666667,1.566666667,0.8,0.433333333,0.2,0.433333333,1.533333333,5.266666667
Alonzo Gee,2009,2015,2016,1349700,1987,0.01928,SG,43,20.9,17.06,1.97,4.53,0.4313,0.32,1,0.2705,1.65,3.52,0.4589,0.461,1.16,1.54,0.6477,0.86,1.76,2.62,0.75,0.71,0.24,0.92,1.48,5.43
Alonzo Gee,2009,2016,2016,1400000,1987,0.01487,SG,55.85714286,25.57142857,19.08571429,2.185714286,5.014285714,0.447714286,0.385714286,1.214285714,0.329714286,1.8,3.8,0.483714286,0.485,1.228571429,1.657142857,0.699142857,0.814285714,2.014285714,2.828571429,0.928571429,0.842857143,0.214285714,0.942857143,1.7,6.028571429
Alonzo Gee,2009,2016,2016,1145214,1987,0.01216,SG,55.85714286,25.57142857,19.08571429,2.185714286,5.014285714,0.447714286,0.385714286,1.214285714,0.329714286,1.8,3.8,0.483714286,0.485,1.228571429,1.657142857,0.699142857,0.814285714,2.014285714,2.828571429,0.928571429,0.842857143,0.214285714,0.942857143,1.7,6.028571429
Alonzo Gee,2009,2016,2016,77379,1987,0.00082,SG,55.85714286,25.57142857,19.08571429,2.185714286,5.014285714,0.447714286,0.385714286,1.214285714,0.329714286,1.8,3.8,0.483714286,0.485,1.228571429,1.657142857,0.699142857,0.814285714,2.014285714,2.828571429,0.928571429,0.842857143,0.214285714,0.942857143,1.7,6.028571429
Amida Brimah,2017,2023,2023,1801769,1994,0.01345,C,5,0,5.8,1,1.6,0.625,0,0,0,1,1.6,0.625,0.625,0.6,0.6,1,0.4,1.2,1.6,0.2,0,1,0.8,0.8,2.6
Amida Brimah,2017,2018,2018,838464,1994,0.00823,,,,,,,,,,,,,,,,,,,,,,,,,,
Amida Brimah,2017,2020,2020,898310,1994,0.00823,,,,,,,,,,,,,,,,,,,,,,,,,,
Amida Brimah,2017,2019,2019,898310,1994,0.00823,,,,,,,,,,,,,,,,,,,,,,,,,,
Amile Jefferson,2017,2019,2020,1641324,1993,0.01504,PF,12,0,5.7,0.8,1.3,0.625,0,0,0,0.8,1.3,0.625,0.625,0.6,0.7,0.875,0.5,1.3,1.8,0.3,0.3,0.3,0.1,0.7,2.3
Amile Jefferson,2017,2020,2020,1620564,1993,0.01485,PF,15,0,4.9,0.55,1.05,0.491,0,0,0,0.55,1.05,0.491,0.491,0.45,0.75,0.616,0.55,1,1.55,0.25,0.2,0.25,0.15,0.55,1.55
Amir Coffey,2019,2022,2024,3666667,1997,0.02846,SG,31,1,8.9,1.15,2.65,0.4315,0.4,1.2,0.3635,0.7,1.5,0.477,0.515,0.45,0.75,0.628,0.2,0.75,0.95,0.65,0.25,0.05,0.35,0.9,3.2
Amir Coffey,2019,2021,2021,153488,1997,0.00137,SG,31,1,8.9,1.15,2.65,0.4315,0.4,1.2,0.3635,0.7,1.5,0.477,0.515,0.45,0.75,0.628,0.2,0.75,0.95,0.65,0.25,0.05,0.35,0.9,3.2
Amir Johnson,2005,2015,2016,12000000,1987,0.17143,PF,73.8,55.8,26.78,3.92,6.9,0.5668,0.14,0.36,0.3002,3.78,6.56,0.5778,0.5752,1.34,1.88,0.6906,2.4,4.16,6.6,1.38,0.7,1.12,1.4,3.44,9.28
Amir Johnson,2005,2017,2017,11000000,1987,0.11101,PF,78.4,67,25.36,3.7,6.46,0.5702,0.22,0.6,0.3486,3.46,5.86,0.5954,0.5874,1.14,1.74,0.643,2.18,4.04,6.24,1.62,0.72,1.04,1.34,3.1,8.7
Amir Johnson,2005,2018,2018,2393887,1987,0.0235,PF,77,63,22.78,3.26,5.66,0.567,0.22,0.64,0.3342,3,5.02,0.5978,0.5872,0.94,1.5,0.62,1.96,3.66,5.64,1.64,0.64,0.88,1.2,2.88,7.62
Anderson Varejao,2004,2015,2017,10000000,1982,0.12184,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Varejao,2004,2016,2016,1551659,1982,0.01648,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Varejao,2004,2015,2015,458575,1982,0.00655,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Varejao,2004,2020,2020,17567,1982,0.00016,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Varejao,2004,2020,2020,5270,1982,0.00005,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Drummond,2012,2016,2020,25434263,1993,0.25167,C,76,63.5,29.1,5.55,10,0.5665,0,0.025,0.20825,5.55,9.975,0.56775,0.56725,1.75,4.6,0.38325,4.6,7.65,12.275,0.6,1.15,1.625,1.45,3.075,12.85
Andre Drummond,2012,2022,2023,3280000,1993,0.02653,C,45.375,45.125,30.35,6.65,12.7625,0.521875,0.0875,0.4875,0.076125,6.5625,12.275,0.536125,0.525125,2.8375,4.8625,0.583625,4.15,9.5125,13.675,2.2125,1.5875,1.4125,2.9375,3.325,16.2
Andre Drummond,2012,2021,2021,2401537,1993,0.02136,C,49.33333333,49.11111111,30.27777778,6.577777778,12.58888889,0.522777778,0.0777777778,0.444444444,0.0994444444,6.488888889,12.15555556,0.535666667,0.525777778,2.711111111,4.811111111,0.561666667,4.166666667,9.511111111,13.68888889,2.088888889,1.577777778,1.377777778,2.822222222,3.277777778,15.91111111
Andre Drummond,2012,2020,2020,794536,1993,0.00728,C,61.85714286,61.57142857,32.1,6.828571429,12.81428571,0.532571429,0.1,0.514285714,0.175428571,6.714285714,12.3,0.546857143,0.536571429,2.714285714,5.314285714,0.515428571,4.528571429,10.08571429,14.61428571,1.942857143,1.657142857,1.5,2.771428571,3.242857143,16.44285714
Andre Iguodala,2004,2017,2019,16000000,1984,0.15923,SG,72.2,28.8,29.38,3.42,7.18,0.4806,0.94,2.78,0.3466,2.44,4.4,0.5694,0.5494,1.18,1.92,0.6284,0.78,3.48,4.26,3.88,1.3,0.42,1.46,1.48,8.94
Andre Iguodala,2004,2020,2021,15000000,1984,0.13744,SF,58.8,4.2,24.26,2.38,4.96,0.4802,0.7,2.16,0.3252,1.66,2.78,0.605,0.5522,0.7,1.14,0.5868,0.76,3.1,3.84,3.14,0.9,0.64,1,1.5,6.18
Andre Iguodala,2004,2022,2022,2905851,1984,0.0235,SF,54,6.25,22.425,1.95,4.375,0.4445,0.725,2.25,0.31075,1.25,2.125,0.5835,0.527,0.55,0.925,0.568,0.725,2.975,3.675,2.8,0.825,0.75,1.025,1.5,5.175
Andre Iguodala,2004,2021,2021,2641691,1984,0.0235,SF,58.4,5,23.2,2.14,4.6,0.4612,0.74,2.26,0.321,1.4,2.32,0.597,0.5426,0.62,1,0.5956,0.72,3.04,3.74,2.92,0.86,0.7,0.98,1.46,5.66
Andre Ingram,2017,2018,2018,7624,1985,0.00007,SG,2,0,32,4,8.5,0.471,2.5,4.5,0.556,1.5,4,0.375,0.618,1.5,1.5,1,0.5,2.5,3,3.5,1.5,1.5,1.5,1.5,12
Andre Jackson Jr.,2023,2021,2021,728742,1986,0.00648,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Miller,1999,2015,2015,1499187,1976,0.02142,PG,56.33333333,11.44444444,20.61111111,2.577777778,5.522222222,0.472777778,0.155555556,0.577777778,0.316,2.422222222,4.966666667,0.492,0.488,1.388888889,1.744444444,0.791222222,0.611111111,1.888888889,2.488888889,4.533333333,0.711111111,0.111111111,1.611111111,1.544444444,6.7
Andre Miller,1999,2015,2015,396844,1976,0.00567,PG,56.33333333,11.44444444,20.61111111,2.577777778,5.522222222,0.472777778,0.155555556,0.577777778,0.316,2.422222222,4.966666667,0.492,0.488,1.388888889,1.744444444,0.791222222,0.611111111,1.888888889,2.488888889,4.533333333,0.711111111,0.111111111,1.611111111,1.544444444,6.7
Andrew Bogut,2005,2017,2017,2328652,1984,0.0235,C,41.42857143,38.85714286,20.04285714,2.071428571,3.828571429,0.458,0,0,0.285714286,2.071428571,3.814285714,0.459142857,0.458714286,0.242857143,0.614285714,0.342,1.842857143,5.185714286,7.042857143,1.785714286,0.485714286,1.242857143,1.228571429,2.885714286,4.385714286
Andrew Bogut,2005,2018,2018,486892,1984,0.00478,C,40.28571429,35,17.81428571,1.8,3.142857143,0.490714286,0,0,0.142857143,1.8,3.142857143,0.492285714,0.491,0.171428571,0.457142857,0.413428571,1.7,4.714285714,6.414285714,1.571428571,0.428571429,1.071428571,1.185714286,2.742857143,3.771428571
Andrew Bogut,2005,2016,2016,383351,1984,0.00407,C,49.6,48.4,25.12,3.34,6.4,0.5434,0,0.02,0.4,3.34,6.38,0.5432,0.5444,0.54,1.08,0.4914,2.08,6.12,8.22,2.28,0.68,1.76,1.46,2.96,7.22
