name,debut,start,end,salary,birth
Anthony Gill,2016,2020,2021,1208146,1992
Anthony Lamb,2020,2021,2021,8558,1998
Anthony Lamb,2020,2022,2022,253254,1998
Anthony Lamb,2020,2022,2022,1836090,1998
Anthony Morrow,2008,2017,2017,2116955,1985
Anthony Tolliver,2007,2016,2017,8000000,1985
Anthony Tolliver,2007,2017,2017,3290000,1985
Anthony Tolliver,2007,2018,2018,5750000,1985
Anthony Tolliver,2007,2019,2019,289803,1985
Anthony Tolliver,2007,2019,2019,14490,1985
Anthony Tolliver,2007,2019,2019,2564753,1985
Anthony Tolliver,2007,2020,2020,17567,1985
Anthony Tolliver,2007,2020,2021,1478247,1985
Anthony Tolliver,2007,2021,2021,15182,1985
Antonio Blakeney,2017,2018,2019,1468807,1996
Antonius Cleveland,2017,2020,2020,1620564,1994
Anzejs Pasecniks,2017,2019,2021,1260915,1995
Anzejs Pasecniks,2017,2019,2019,898310,1995
Archie Goodwin,2013,2017,2017,1577230,1994
Archie Goodwin,2013,2016,2017,815501,1994
Archie Goodwin,2013,2016,2016,5975,1994
Archie Goodwin,2013,2016,2017,1012885,1994
Arinze Onuaku,2013,2016,2016,980431,1987
Armoni Brooks,2019,2022,2022,1836090,1998
Armoni Brooks,2019,2021,2022,1001319,1998
Armoni Brooks,2019,2021,2021,8558,1998
Armoni Brooks,2019,2021,2024,1800372,1998
Armoni Brooks,2019,2021,2021,1489065,1998
Aron Baynes,2012,2015,2017,6500000,1986
Aron Baynes,2012,2017,2017,4328000,1986
Aron Baynes,2012,2018,2019,5323440,1986
Aron Baynes,2012,2020,2021,7175000,1986
Arron Afflalo,2007,2017,2017,2328652,1985
Arron Afflalo,2007,2016,2017,12500000,1985
Arron Afflalo,2007,2015,2016,8000000,1985
Ashton Hagans,2020,2021,2021,1489065,1999
Ashton Hagans,2020,2023,2023,10355,1999
Ashton Hagans,2020,2023,2023,1801769,1999
Austin Reaves,2021,2023,2026,13456968,1998
Austin Rivers,2012,2022,2022,2905851,1992
Austin Rivers,2012,2021,2021,2401537,1992
Austin Rivers,2012,2020,2020,270142,1992
Austin Rivers,2012,2020,2020,15891,1992
Austin Rivers,2012,2020,2022,3325000,1992
Austin Rivers,2012,2019,2020,2271991,1992
Austin Rivers,2012,2018,2018,1155323,1992
Austin Rivers,2012,2016,2018,11825000,1992
Austin Rivers,2012,2015,2016,3227451,1992
Avery Bradley,2010,2021,2021,2641691,1990
Avery Bradley,2010,2020,2020,5635000,1990
Avery Bradley,2010,2019,2020,4886175,1990
Avery Bradley,2010,2018,2019,12480000,1990
Avery Bradley,2010,2014,2017,8000000,1990
Axel Toupane,2015,2021,2021,1729217,1992
Axel Toupane,2015,2020,2020,1620564,1992
Axel Toupane,2015,2016,2017,748554,1992
