name,debut,start,end,salary,birth
Damian Lillard,2012,2015,2019,17000450,1986
Damian Lillard,2012,2008,2011,1904000,1986
Damion Lee,2016,2017,2017,4608,1992
Damion Lee,2016,2017,2017,46080,1992
Damion Lee,2016,2019,2021,1505328,1992
Damion Lee,2016,2022,2022,2133278,1992
Damion Lee,2016,2023,2024,2686788,1992
Damion Lee,2018,2023,2024,2686788,1994
Damion Lee,2018,2022,2022,2133278,1994
Damion Lee,2018,2019,2021,1505328,1994
Damion Lee,2018,2017,2017,46080,1994
Damion Lee,2018,2017,2017,4608,1994
Damion Lee,2018,2016,2017,724360,1994
Damjan Rudez,2014,2017,2017,1524305,1986
Damjan Rudez,2014,2016,2016,980431,1986
Damyean Dotson,2017,2020,2021,2000000,1994
Damyean Dotson,2017,2021,2021,10283,1994
Damyean Dotson,2017,2021,2021,1789256,1994
D'Angelo Russell,2015,2023,2024,18000000,1996
D'Angelo Russell,2015,2019,2022,29331375,1996
Daniel Gafford,2019,2023,2025,13394160,1998
Daniel Ochefu,2016,2017,2017,1312611,1993
Daniel Oturu,2020,2021,2021,8558,1999
Daniel Oturu,2020,2021,2021,1489065,1999
Daniel Theis,2017,2019,2020,5000000,1992
Daniel Theis,2017,2021,2024,8901378,1992
Daniel Theis,2017,2023,2023,2179511,1992
Daniel Theis,2013,2023,2023,2179511,1992
Daniel Theis,2013,2021,2024,8901378,1992
Daniel Theis,2013,2019,2020,5000000,1992
Daniel Theis,2013,2017,2018,1096929,1992
Danilo Gallinari,2008,2023,2023,1047112,1988
Danilo Gallinari,2008,2022,2023,6640975,1988
Danilo Gallinari,2008,2020,2022,20475000,1988
Danilo Gallinari,2008,2017,2019,21587579,1988
Danilo Gallinari,2008,2015,2017,15050000,1988
Danilo Gallinari,2008,2021,2021,13036364,1987
Danilo Gallinari,2008,2017,2020,13000000,1987
Danilo Gallinari,2008,2015,2016,2150000,1987
Danilo Gallinari,2008,2014,2014,507336,1987
Danilo Gallinari,2008,2022,2022,409916,1992
Danilo Gallinari,2008,2022,2022,15182,1992
Danilo Gallinari,2008,2020,2020,9400000,1992
Danny Green,2009,2015,2018,10000000,1987
Danny Green,2009,2019,2020,15000000,1987
Danny Green,2009,2021,2022,10000000,1987
Danny Green,2009,2022,2022,2000000,1987
Danny Green,2009,2023,2023,3196448,1987
Dante Cunningham,2009,2018,2018,2487000,1987
Dante Cunningham,2009,2017,2017,2300000,1987
Dante Cunningham,2009,2015,2017,2978250,1987
Dante Cunningham,2009,2014,2014,831942,1987
Dante Cunningham,2009,2011,2013,2090000,1987
Dante Exum,2014,2018,2020,11000000,1995
Dante Exum,2014,2021,2023,2700000,1995
Dante Exum,2014,2023,2024,3075000,1995
Danuel House Jr.,2016,2022,2023,4207625,1993
Danuel House Jr.,2016,2021,2021,657596,1993
Danuel House Jr.,2016,2019,2021,3717000,1993
Danuel House Jr.,2016,2018,2018,1162225,1993
Danuel House Jr.,2016,2018,2018,1512601,1993
Danuel House Jr.,2016,2017,2017,1312611,1993
Danuel House Jr.,2016,2021,2021,11146,1993
Danuel House Jr.,2016,2018,2018,247827,1993
DaQuan Jeffries,2019,2023,2024,1362620,1997
DaQuan Jeffries,2019,2022,2023,1183293,1997
DaQuan Jeffries,2019,2022,2022,1902133,1997
DaQuan Jeffries,2019,2021,2021,1669178,1997
DaQuan Jeffries,2019,2020,2020,1445697,1997
DaQuan Jeffries,2019,2023,2023,12443,1997
DaQuan Jeffries,2019,2022,2022,10932,1997
DaQuan Jeffries,2019,2021,2021,9593,1997
Dario Saric,2016,2020,2022,9000000,1994
Dario Saric,2016,2023,2023,2709849,1994
Darius Bazley,2019,2023,2025,1915000,2000
Darius Bazley,2019,2023,2023,12443,2000
Darius Bazley,2019,2023,2023,2165000,2000
Darius Garland,2019,2023,2027,39446090,2000
Darius Miller,2012,2019,2020,7125000,1990
Darius Miller,2012,2017,2018,2152500,1990
Darrell Arthur,2008,2016,2018,7666667,1988
Darrell Arthur,2008,2015,2016,2877315,1988
Darren Collison,2009,2021,2021,15182,1987
Darren Collison,2009,2017,2018,10000000,1987
Darren Collison,2009,2014,2016,5013559,1987
Darren Collison,2009,2013,2013,1942750,1987
Darrun Hilliard II,2015,2017,2017,50000,1993
Daryl Macon,2018,2019,2019,1445697,1995
David Duke Jr.,2021,2023,2023,2019706,1999
David Duke Jr.,2021,2022,2022,28241,1999
David Johnson,2021,2023,2023,1801769,2001
David Johnson,2021,2022,2022,1637966,2001
David Lee,2005,2015,2015,2085671,1983
David Lee,2005,2016,2017,1578813,1983
David Nwaba,2016,2018,2018,1512601,1993
David Nwaba,2016,2019,2020,1382681,1993
David Nwaba,2016,2019,2020,1751429,1993
David Nwaba,2016,2021,2023,5000000,1993
David Nwaba,2016,2023,2023,2528233,1993
David Stockton,2014,2022,2022,1836090,1991
David Stockton,2014,2021,2021,1669178,1991
David Stockton,2014,2019,2019,1620564,1991
David Stockton,2014,2017,2018,794723,1991
David Stockton,2014,2017,2017,7416,1991
David Stockton,2014,2017,2017,1312611,1991
David West,2003,2015,2016,1525423,1980
David West,2003,2016,2016,1551659,1980
David West,2003,2017,2017,2328652,1980
Davis Bertans,2016,2018,2019,7250000,1992
Davis Bertans,2016,2020,2024,16000000,1992
Davis Bertans,2011,2020,2024,16000000,1992
Davis Bertans,2011,2018,2019,7250000,1992
Davis Bertans,2011,2016,2017,724360,1992
Davon Reed,2017,2022,2023,1984359,1995
Davon Reed,2017,2021,2021,9593,1995
Davon Reed,2017,2021,2021,94304,1995
Davon Reed,2017,2021,2021,1669178,1995
Davon Reed,2017,2019,2019,1620564,1995
De'Aaron Fox,2017,2021,2025,32600060,1997
Dean Wade,2019,2023,2025,6166667,1996
Deandre Ayton,2018,2022,2025,33232282,1998
DeAndre' Bembry,2016,2021,2021,601867,1994
DeAndre' Bembry,2016,2021,2021,1939350,1994
DeAndre' Bembry,2016,2020,2021,1857078,1994
De'Andre Hunter,2019,2023,2026,22500000,1997
DeAndre Jordan,2008,2023,2023,3196448,1988
DeAndre Jordan,2008,2022,2022,2905851,1988
DeAndre Jordan,2008,2021,2021,2641691,1988
DeAndre Jordan,2008,2019,2022,9990179,1988
DeAndre Jordan,2008,2018,2018,22897200,1988
DeAndre Jordan,2008,2015,2018,21904013,1988
DeAndre Jordan,2008,2021,2021,592103,1988
DeAndre Jordan,2008,2011,2014,10759764,1988
DeAndre Liggins,2011,2016,2017,1296463,1988
DeAndre Liggins,2011,2017,2017,8911,1988
DeAndre Liggins,2011,2017,2017,1577230,1988
DeAndre Liggins,2011,2017,2018,1191568,1988
DeAndre Liggins,2011,2018,2018,1757429,1988
DeAndre Liggins,2011,2013,2013,5202,1988
DeAndre Liggins,2011,2012,2013,823244,1988
De'Anthony Melton,2018,2020,2023,8656922,1998
Deividas Sirvydis,2020,2021,2021,8558,2000
Deividas Sirvydis,2020,2021,2021,1669178,2000
Deividas Sirvydis,2020,2022,2022,1836090,2000
Dejounte Murray,2016,2024,2027,28517552,1996
Dejounte Murray,2016,2020,2023,16000000,1996
Delon Wright,2015,2019,2021,9350000,1992
Delon Wright,2015,2022,2023,8000000,1992
Delon Wright,2015,2023,2023,947205,1992
DeMar DeRozan,2009,2016,2020,27800000,1989
DeMar DeRozan,2009,2021,2023,27300000,1989
DeMarcus Cousins,2010,2018,2018,5337000,1990
DeMarcus Cousins,2010,2019,2019,3500000,1990
DeMarcus Cousins,2010,2020,2020,15970,1990
DeMarcus Cousins,2010,2020,2020,335366,1990
DeMarcus Cousins,2010,2020,2020,2331593,1990
DeMarcus Cousins,2010,2021,2021,15182,1990
DeMarcus Cousins,2010,2021,2021,683196,1990
DeMarcus Cousins,2010,2021,2021,2004047,1990
DeMarre Carroll,2009,2019,2019,811447,1986
DeMarre Carroll,2009,2019,2021,6883333,1986
DeMarre Carroll,2009,2015,2018,14500000,1986
DeMarre Carroll,2009,2013,2014,2500000,1986
DeMarre Carroll,2009,2011,2012,711279,1986
DeMarre Carroll,2009,2011,2011,854389,1986
Demetrius Jackson,2016,2019,2019,1620564,1994
Demetrius Jackson,2016,2017,2017,74159,1994
Deng Adel,2018,2019,2019,1445697,1996
Deni Avdija,2020,2024,2027,13750000,2001
Dennis Schr?der,2013,2023,2024,12715125,1993
Dennis Schr?der,2013,2022,2022,2641682,1993
Dennis Schr?der,2013,2021,2021,5890000,1993
Dennis Schr?der,2013,2017,2020,17500000,1993
Dennis Schrç­Œï½Œ?žer,2013,2023,2024,12715125,1993
Dennis Schrç­Œï½Œ?žer,2013,2022,2022,2641682,1993
Dennis Schrç­Œï½Œ?žer,2013,2021,2021,5890000,1993
Dennis Schrç­Œï½Œ?žer,2013,2017,2020,17500000,1993
Dennis Smith Jr.,2017,2021,2021,1789256,1997
Dennis Smith Jr.,2017,2022,2022,2133278,1997
Dennis Smith Jr.,2017,2023,2023,2528233,1997
Denzel Valentine,2016,2020,2020,4642800,1993
Denzel Valentine,2016,2021,2021,11146,1993
Denzel Valentine,2016,2021,2021,2066635,1993
Denzel Valentine,2016,2022,2022,2298385,1993
Deonte Burton,2017,2023,2023,2092354,1994
Deonte Burton,2017,2022,2022,10552,1994
Deonte Burton,2017,2018,2019,784220,1994
Deron Williams,2005,2015,2016,5500000,1984
Deron Williams,2005,2016,2016,410733,1984
Deron Williams,2005,2016,2016,10000000,1984
Derrick Favors,2010,2023,2023,3196448,1991
Derrick Favors,2010,2022,2022,16700,1991
Derrick Favors,2010,2020,2022,9720900,1991
Derrick Favors,2010,2018,2019,18800000,1991
Derrick Jones Jr.,2016,2018,2019,1578979,1997
Derrick Jones Jr.,2016,2020,2021,9489450,1997
Derrick Jones Jr.,2016,2022,2023,3280000,1997
Derrick Jones Jr.,2016,2023,2023,2709849,1997
Derrick Rose,2008,2017,2017,418607,1988
Derrick Rose,2008,2017,2017,2106470,1988
Derrick Rose,2008,2018,2018,2393887,1988
Derrick Rose,2008,2019,2020,7500000,1988
Derrick Rose,2008,2021,2023,14520730,1988
Derrick Rose,2008,2023,2024,3276360,1988
Derrick Rose,2008,2023,2024,3276360,1998
Derrick Rose,2008,2021,2023,14520730,1998
Derrick Rose,2008,2019,2020,7500000,1998
Derrick Rose,2008,2018,2018,2393887,1998
Derrick Rose,2008,2017,2017,2106470,1998
Derrick Walton Jr.,2017,2021,2021,9593,1995
Derrick Walton Jr.,2017,2021,2021,1669178,1995
Derrick Walton Jr.,2017,2020,2020,1620564,1995
Derrick Walton Jr.,2017,2019,2019,8168,1995
Derrick Walton Jr.,2017,2019,2019,1445697,1995
Derrick Walton Jr.,2017,2018,2018,1349383,1995
Derrick White,2017,2021,2024,17500000,1994
Derrick Williams,2011,2015,2016,4499000,1991
Derrick Williams,2011,2016,2016,268029,1991
Derrick Williams,2011,2016,2016,6701,1991
Derrick Williams,2011,2016,2016,4598000,1991
Derrick Williams,2011,2017,2017,10406,1991
Desmond Bane,2020,2024,2028,39446090,1998
Devin Cannady,2019,2023,2023,2019706,1996
Devin Cannady,2019,2021,2023,1251592,1996
Devin Cannady,2019,2021,2021,8558,1996
Devin Cannady,2019,2021,2021,1489065,1996
Devin Cannady,2019,2020,2020,6153,1996
Devin Cannady,2019,2020,2020,898310,1996
Devin Harris,2004,2018,2018,2393887,1983
Devin Robinson,2017,2020,2020,1620564,1995
Devin Robinson,2017,2019,2019,1620564,1995
Devin Vassell,2020,2024,2028,27000000,2000
Devon Dotson,2020,2022,2022,1836090,1999
Devon Dotson,2020,2023,2023,2092354,1999
Devontae Cacok,2019,2022,2022,1902133,1996
Devontae Cacok,2019,2021,2021,364533,1996
Devontae Cacok,2019,2021,2021,1669178,1996
Devonte' Graham,2018,2021,2024,11825000,1995
Dewan Hernandez,2019,2020,2020,1445697,1996
Dewayne Dedmon,2013,2022,2022,835014,1989
Dewayne Dedmon,2013,2022,2023,4512000,1989
Dewayne Dedmon,2013,2021,2021,2389641,1989
Dewayne Dedmon,2013,2020,2020,580811,1989
Dewayne Dedmon,2013,2019,2021,13333333,1989
Dewayne Dedmon,2013,2017,2018,7050000,1989
Dewayne Dedmon,2013,2016,2017,2963205,1989
Deyonta Davis,2016,2018,2019,852246,1996
Deyonta Davis,2016,2018,2018,8546,1996
Deyonta Davis,2016,2018,2018,1512601,1996
Diamond Stone,2016,2017,2018,1428781,1997
Didi Louzada,2020,2021,2024,1921578,1999
Didi Louzada,2019,2021,2024,1921578,1999
Didi Louzada,2019,2020,2020,123056,1999
Dillon Brooks,2017,2023,2026,21500000,1996
Dillon Brooks,2017,2020,2022,11666667,1996
Dion Waiters,2012,2019,2019,503656,1991
Dion Waiters,2012,2017,2020,13000000,1991
Dion Waiters,2012,2016,2017,2963205,1991
Dionte Christmas,2012,2016,2016,874636,1986
Dionte Christmas,2012,2015,2015,845059,1986
Dirk Nowitzki,2020,2016,2016,25000000,1978
Dirk Nowitzki,2020,2017,2017,5000000,1978
Dirk Nowitzki,2020,2018,2018,5000000,1978
DJ Wilson,2017,2023,2023,13486,1996
DJ Wilson,2017,2023,2023,2346614,1996
DJ Wilson,2017,2022,2023,2273291,1996
DJ Wilson,2017,2021,2021,10283,1996
DJ Wilson,2017,2021,2021,1789256,1996
DJ Wilson,2017,2011,2011,992680,1983
DJ Wilson,2017,2010,2010,350179,1983
DJ Wilson,2017,2009,2009,855189,1983
DJ Wilson,2017,2006,2008,695012,1983
DJ Wilson,2017,2013,2015,8000000,1987
DJ Wilson,2017,2012,2013,4110450,1987
Domantas Sabonis,2016,2024,2027,46504000,1996
Domantas Sabonis,2016,2020,2023,18725000,1996
Dominick Barlow,2022,2023,2023,455620,2003
Donald Sloan,2011,2018,2018,1757429,1988
Donald Sloan,2011,2017,2017,1709538,1988
Donald Sloan,2011,2015,2015,1015421,1988
Donald Sloan,2011,2013,2014,916228,1988
Donald Sloan,2011,2012,2012,4484,1988
Donald Sloan,2011,2012,2012,762195,1988
Donatas Motiejunas,2011,2018,2018,69503,1990
Donatas Motiejunas,2011,2016,2016,618212,1990
Donatas Motiejunas,2012,2016,2016,618212,1990
Donatas Motiejunas,2012,2018,2018,69503,1990
Donovan Mitchell,2017,2021,2025,32600060,1996
Donovan Williams,2022,2023,2023,1801769,2001
Donta Hall,2019,2020,2020,7922,1997
Donta Hall,2019,2020,2020,9902,1997
Donte DiVincenzo,2018,2022,2023,4612500,1997
Donte DiVincenzo,2018,2023,2026,11717500,1997
Donte DiVincenzo,2018,2015,2015,21621,1992
Donte DiVincenzo,2018,2015,2015,3089,1992
Donte DiVincenzo,2018,2020,2020,15891,1990
Donte DiVincenzo,2018,2017,2017,8313,1996
Donte DiVincenzo,2018,2015,2017,2083671,1996
Donte DiVincenzo,2018,2016,2016,4347826,1987
Dorell Wright,2004,2016,2016,1551659,1985
Dorian Finney-Smith,2016,2019,2021,4000000,1993
Dorian Finney-Smith,2016,2022,2025,13890240,1993
Doug McDermott,2014,2018,2020,7333333,1992
Doug McDermott,2014,2021,2023,13750000,1992
Draymond Green,2012,2015,2019,16400000,1990
Draymond Green,2012,2020,2023,24916591,1990
Draymond Green,2012,2023,2026,25000000,1990
Drew Eubanks,2018,2020,2022,1764740,1997
Drew Eubanks,2018,2021,2021,9938,1997
Drew Eubanks,2018,2021,2021,7950,1997
Drew Eubanks,2018,2022,2022,1968175,1997
Drew Eubanks,2018,2023,2024,2500629,1997
Drew Gooden,2002,2015,2016,3423500,1981
Dru Smith,2021,2023,2024,1961231,1997
Dru Smith,2021,2022,2022,1017781,1997
Duane Washington Jr.,2021,2023,2023,2019706,2000
Duncan Robinson,2018,2021,2025,18000000,1994
Dwayne Bacon,2017,2022,2022,1968175,1995
Dwayne Bacon,2017,2021,2021,1789256,1995
Dwayne Bacon,2017,2020,2021,1751429,1995
Dwight Buycks,2013,2017,2017,50000,1989
Dwight Buycks,2013,2017,2018,1174340,1989
Dwight Howard,2004,2021,2021,2641691,1985
Dwight Howard,2004,2020,2020,2564753,1985
Dwight Howard,2004,2019,2019,2564753,1985
Dwight Howard,2004,2018,2019,5470425,1985
Dwight Howard,2004,2016,2018,23500000,1985
Dwight Howard,2004,2013,2016,21897818,1985
Dwight Howard,2004,2007,2012,16647180,1985
Dwight Powell,2014,2016,2019,9317188,1991
Dwight Powell,2014,2020,2022,11080125,1991
Dwight Powell,2014,2023,2025,4000000,1991
Dwyane Wade,2003,2015,2015,20000000,1982
Dwyane Wade,2003,2016,2017,23500000,1982
Dwyane Wade,2003,2017,2017,2328652,1982
Dwyane Wade,2003,2018,2018,2393887,1982
Dylan Windler,2019,2023,2023,2165000,1996
E.J. Singler,2013,2016,2016,543471,1990
E.J. Singler,2013,2015,2015,525093,1990
Ed Davis,2010,2015,2017,6666667,1989
Ed Davis,2010,2018,2018,4449000,1989
Ed Davis,2010,2019,2020,4886175,1989
Ed Davis,2010,2021,2021,2641691,1989
Ed Davis,2010,2014,2014,1040843,1989
Edmond Sumner,2017,2023,2023,2346614,1995
Edmond Sumner,2017,2022,2023,2104059,1995
Edmond Sumner,2017,2019,2021,2160000,1995
Edmond Sumner,2017,2018,2019,1035179,1995
Ekpe Udoh,2010,2017,2018,3280000,1987
Elfrid Payton,2014,2023,2023,2891467,1994
Elfrid Payton,2014,2021,2021,2239544,1994
Elfrid Payton,2014,2020,2020,4767000,1994
Elfrid Payton,2014,2019,2020,8000000,1994
Elfrid Payton,2014,2018,2018,3000000,1994
Elijah Bryant,2020,2016,2017,724360,1992
Elijah Bryant,2020,2014,2017,5663088,1988
Elijah Hughes,2020,2022,2022,1836090,1998
Elijah Hughes,2020,2023,2023,2019706,1998
Elijah Millsap,2014,2019,2019,1678854,1987
Elijah Millsap,2014,2016,2017,773687,1987
Elton Brand,1999,2016,2016,1551659,1979
Elton Brand,1999,2015,2015,890693,1979
Emanuel Terry,2018,2021,2021,8558,1995
Emanuel Terry,2018,2021,2021,1489065,1995
Emeka Okafor,2004,2018,2018,2393887,1982
Emeka Okafor,2004,2017,2018,1518558,1982
Emeka Okafor,2004,2017,2017,10964,1982
Emeka Okafor,2004,2017,2017,13156,1982
Emeka Okafor,2004,2017,2017,2328652,1982
Emmanuel Mudiay,2015,2022,2022,2298385,1996
Emmanuel Mudiay,2015,2019,2019,1737145,1996
Emmanuel Mudiay,2015,2021,2021,11146,1996
Enes Freedom,2011,2015,2018,17515007,1992
Enes Freedom,2011,2018,2018,653556,1992
Enes Freedom,2011,2019,2020,4886175,1992
Enes Freedom,2011,2021,2021,2641691,1992
Eric Bledsoe,2010,2019,2022,17500000,1989
Eric Bledsoe,2010,2012,2013,6550000,1988
Eric Bledsoe,2010,2011,2011,4051023,1988
Eric Bledsoe,2010,2007,2010,2379120,1988
Eric Gordon,2008,2023,2024,3276360,1988
Eric Gordon,2008,2020,2023,18893589,1988
Eric Gordon,2008,2016,2019,13221622,1988
Eric Gordon,2008,2012,2015,14591391,1988
Eric Mika,2017,2019,2019,5075,1995
Eric Mika,2017,2019,2019,898310,1995
Eric Moreland,2014,2015,2015,845059,1991
Eric Moreland,2014,2016,2016,980431,1991
Eric Moreland,2014,2017,2019,1826300,1991
Eric Moreland,2014,2018,2018,17706,1991
Eric Moreland,2014,2018,2018,8853,1991
Eric Moreland,2014,2018,2018,1080084,1991
Eric Moreland,2014,2018,2018,1567007,1991
Eric Moreland,2014,2019,2019,1737145,1991
Erick Green,2014,2015,2015,4971,1991
Ersan Ilyasova,2005,2021,2021,15182,1987
Ersan Ilyasova,2005,2020,2020,1194542,1987
Ersan Ilyasova,2005,2018,2020,7000000,1987
Ersan Ilyasova,2005,2017,2017,565718,1987
Ersan Ilyasova,2005,2017,2017,6000000,1987
Ersan Ilyasova,2005,2016,2016,980431,1995
Ersan Ilyasova,2005,2014,2016,885144,1995
Ersan Ilyasova,2005,2021,2021,1789256,1993
Ersan Ilyasova,2005,2016,2017,842894,1993
Ersan Ilyasova,2005,2016,2016,5767,1993
Ersan Ilyasova,2005,2016,2016,980431,1993
Ersan Ilyasova,2005,2014,2016,808497,1993
Ersan Ilyasova,2005,2019,2019,1737145,1994
E'Twaun Moore,2011,2016,2019,8500000,1989
E'Twaun Moore,2011,2020,2020,2331593,1989
E'Twaun Moore,2011,2021,2021,2641691,1989
Eugene Omoruyi,2021,2022,2022,9414,1997
Eugene Omoruyi,2021,2022,2023,1098671,1997
Eugene Omoruyi,2021,2022,2023,1136503,1997
Eugene Omoruyi,2021,2023,2024,1548485,1997
Evan Fournier,2012,2016,2020,17000000,1992
Evan Fournier,2012,2021,2024,18250000,1992
Evan Turner,2010,2016,2019,17500000,1988
Evan Turner,2010,2015,2015,3351755,1988
Facundo Campazzo,2020,2022,2022,1836090,1991
Festus Ezeli,2012,2016,2016,7566500,1989
Filip Petrusev,2021,2023,2024,1505710,2000
Frank Jackson,2017,2020,2021,1751429,1998
Frank Jackson,2017,2021,2022,3075000,1998
Frank Jackson,2017,2022,2022,2133278,1998
Frank Jackson,2017,2022,2022,12260,1998
Frank Kaminsky,2015,2019,2019,4767000,1993
Frank Kaminsky,2015,2020,2020,1882867,1993
Frank Kaminsky,2015,2021,2021,2089448,1993
Frank Kaminsky,2015,2022,2022,2463490,1993
Frank Mason III,2017,2021,2021,1729217,1994
Frank Mason III,2017,2020,2020,1678854,1994
Frank Ntilikina,2017,2021,2022,1912787,1998
Frank Ntilikina,2017,2023,2023,2528233,1998
Fred VanVleet,2016,2023,2025,42846615,1994
Fred VanVleet,2016,2020,2023,21250000,1994
Fred VanVleet,2016,2018,2019,9000000,1994
Freddie Gillespie,2020,2021,2021,8558,1997
Furkan Korkmaz,2017,2021,2023,5000000,1997
Furkan Korkmaz,2017,2019,2020,1691680,1997
Gabe Vincent,2018,2023,2025,11000000,1996
Gabe Vincent,2018,2021,2022,1742428,1996
Gabe Vincent,2018,2020,2020,50000,1996
Gabe York,2018,2022,2022,1637966,1993
Garrett Temple,2009,2016,2018,8000000,1986
Garrett Temple,2009,2019,2019,4767000,1986
Garrett Temple,2009,2020,2020,4767000,1986
Garrett Temple,2009,2021,2023,5155500,1986
Garrett Temple,2009,2023,2023,3196448,1986
Garrett Temple,2010,2023,2023,3196448,1986
Garrett Temple,2010,2021,2023,5155500,1986
Garrett Temple,2010,2020,2020,4767000,1986
Garrett Temple,2010,2019,2019,4767000,1986
Garrett Temple,2010,2016,2018,8000000,1986
Garrett Temple,2009,2014,2015,1040843,1986
Garrett Temple,2009,2013,2013,916099,1986
Garrett Temple,2009,2012,2012,572943,1986
Garrett Temple,2009,2012,2012,854389,1986
Garrett Temple,2009,2010,2010,4484,1986
Garrett Temple,2009,2010,2010,80703,1986
Garrison Mathews,2019,2021,2024,2057563,1996
Garrison Mathews,2019,2021,2021,1669178,1996
Gary Clark,2018,2021,2021,1282005,1994
Gary Clark,2018,2020,2021,2050000,1994
Gary Clark,2018,2019,2019,555409,1994
Gary Clark,2018,2019,2019,8168,1994
Gary Harris,2014,2022,2023,13000000,1994
Gary Harris,2014,2018,2021,21000000,1994
Gary Neal,2007,2016,2016,7219,1984
Gary Neal,2007,2015,2015,2139000,1984
Gary Payton II,2016,2018,2018,8546,1992
Gary Payton II,2016,2018,2018,1512601,1992
Gary Payton II,2016,2019,2019,1090781,1992
Gary Payton II,2016,2020,2020,11898,1992
Gary Payton II,2016,2020,2021,994455,1992
Gary Payton II,2016,2021,2021,1939350,1992
Gary Payton II,2016,2022,2024,8715000,1992
Gary Trent Jr.,2018,2021,2023,17280000,1999
George Hill,2008,2017,2019,19000000,1986
George Hill,2008,2019,2021,9590602,1986
George Hill,2008,2021,2022,4000000,1986
George Hill,2008,2012,2016,8000000,1987
George Hill,2008,2009,2011,2320500,1987
George Hill,2008,2005,2006,531486,1987
George Hill,2008,2020,2020,3330,1995
George Hill,2008,2020,2020,110998,1995
George Hill,2008,2012,2016,8000000,1986
Georges Niang,2016,2017,2017,1312611,1993
Georges Niang,2016,2018,2020,1658337,1993
Georges Niang,2016,2021,2022,3382500,1993
Georges Niang,2016,2023,2025,8500000,1993
Georgios Papagiannis,2016,2017,2017,7416,1997
Georgios Papagiannis,2016,2017,2018,865174,1997
Gerald Green,2005,2020,2020,2564753,1986
Gerald Green,2005,2019,2019,2564753,1986
Gerald Green,2005,2018,2018,2393887,1986
Gerald Green,2005,2017,2017,1381404,1986
Gerald Green,2005,2017,2017,2328652,1986
Gerald Green,2005,2016,2016,1410598,1986
Gerald Green,2005,2015,2015,1356146,1986
Gerald Green,2005,2012,2014,3500000,1986
Gerald Green,2005,2011,2011,277540,1986
Gerald Green,2005,2011,2011,9714,1986
Gerald Green,2005,2011,2011,5551,1986
Gerald Green,2005,2008,2008,854957,1986
Gerald Henderson,2009,2016,2017,9000000,1987
Giannis Antetokounmpo,2013,2025,2027,58627800,1994
Giannis Antetokounmpo,2013,2021,2025,45640084,1994
Giannis Antetokounmpo,2013,2017,2020,25000000,1994
Giannis Antetokounmpo,2013,2022,2025,2837415,2001
Giannis Antetokounmpo,2013,2023,2023,3196448,1988
Giannis Antetokounmpo,2013,2022,2022,801614,1988
Giannis Antetokounmpo,2013,2022,2022,13000000,1988
Giannis Antetokounmpo,2013,2019,2020,2628872,1986
Giannis Antetokounmpo,2013,2018,2018,737715,1986
Giannis Antetokounmpo,2013,2015,2018,17515007,1986
Giannis Antetokounmpo,2013,2010,2014,6505320,1986
Giannis Antetokounmpo,2013,2021,2021,4500000,1993
Giannis Antetokounmpo,2013,2020,2021,2395574,1993
Giannis Antetokounmpo,2013,2018,2019,3000000,1993
Giannis Antetokounmpo,2013,2016,2017,724360,1993
Giannis Antetokounmpo,2013,2020,2020,1737145,1997
Giannis Antetokounmpo,2013,2016,2019,2905531,1997
Giannis Antetokounmpo,2013,2019,2020,1340866,1990
Giannis Antetokounmpo,2013,2016,2018,10500000,1985
Giannis Antetokounmpo,2013,2015,2015,5500000,1985
Giannis Antetokounmpo,2013,2012,2014,3229050,1985
Giannis Antetokounmpo,2013,2018,2018,1621415,1996
Glenn Robinson III,2014,2015,2017,1080333,1994
Glenn Robinson III,2014,2018,2018,4075000,1994
Glenn Robinson III,2014,2019,2019,1882867,1994
Glenn Robinson III,2014,2020,2020,2028594,1994
Glenn Robinson III,2014,2023,2023,2709849,1994
Goga Bitadze,2019,2022,2023,1339383,1999
Goran Dragic,2008,2022,2022,617911,1986
Goran Dragic,2008,2022,2022,2905851,1986
Goran Dragic,2008,2021,2021,728742,1986
Goran Dragic,2008,2020,2020,18000000,1986
Goran Dragic,2008,2015,2019,17000450,1986
Goran Dragic,2008,2014,2016,5500000,1985
Goran Dragic,2008,2012,2013,823244,1985
Goran Dragic,2008,2006,2006,412718,1985
Goran Dragic,2008,2023,2023,13486,1995
Goran Dragic,2008,2022,2022,2133278,1995
Goran Dragic,2008,2021,2021,10283,1995
Goran Dragic,2008,2021,2021,1789256,1995
Goran Dragic,2008,2012,2015,7500000,1986
Gordon Hayward,2010,2020,2023,30000000,1990
Gordon Hayward,2010,2017,2020,31957493,1990
Gordon Hayward,2010,2014,2017,15741355,1990
Gorgui Dieng,2013,2022,2022,895743,1990
Gorgui Dieng,2013,2022,2022,15182,1990
Gorgui Dieng,2013,2022,2022,2641682,1990
Gorgui Dieng,2013,2021,2021,4000000,1990
Gorgui Dieng,2013,2020,2020,1000000,1990
Gorgui Dieng,2013,2017,2020,15700000,1990
Grant Jerrett,2013,2016,2016,874636,1993
Grant Riller,2020,2022,2022,1637966,1997
Grayson Allen,2018,2024,2027,17500000,1995
Grayson Allen,2018,2022,2023,9350000,1995
Grayson Allen,2018,2009,2009,457588,1986
Grayson Allen,2018,2022,2022,1637966,1998
Grayson Allen,2018,2011,2013,19000000,1980
Grayson Allen,2018,2005,2010,14412167,1980
Grayson Allen,2018,2001,2004,3275349,1980
Greg Brown III,2021,2023,2023,2019706,2001
