name,start,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,debut,end,salary,birth,target,Pos,G,Pos_PG,Pos_SG,Pos_SF,Pos_PF,Pos_C,contract_period,Annual
Aaron Holiday,2022,7.582582583,16.01741742,2.262762763,5.243543543,0.430066066,0.803003003,2.081081081,0.384231231,1.472072072,3.166966967,0.461198198,0.506225225,0.786786787,0.957657658,0.86248048,0.332132132,1.267867868,1.581081081,1.975675675,0.628528528,0.144444444,0.892792793,1.465765766,6.103003003,2018,2022,1968175.0,1996,0.015916663,PG,227.1621622,False,True,False,False,False,1,5
Aaron Holiday,2023,7.196969697,15.16121212,2.04969697,4.639393939,0.435775757,0.724848485,1.807272728,0.392206061,1.337272727,2.836666666,0.465136364,0.512881818,0.67030303,0.801818182,0.867648485,0.371515151,1.212121212,1.564545455,1.880909091,0.608787879,0.143939394,0.815454546,1.447272727,5.463030303,2018,2023,2346614.0,1996,0.017512045,PG,228.0545455,False,True,False,False,False,1,6
Aaron Nesmith,2024,53.54482759,26.29034483,3.946896552,8.447586207,0.461262069,1.748965517,4.448965517,0.392317241,2.148275862,3.99862069,0.538206897,0.56522069,1.550344828,1.9,0.809696552,0.849655172,2.9,3.8,1.399310345,0.849655172,0.599310345,0.950344828,3.249655172,11.14275862,2020,2026,11000000.0,1999,0.075670284,SF,72.50344828,True,False,False,False,False,3,5
Adam Mokoka,2022,0.0,4.0,0.5,1.4,0.368,0.1,0.7,0.1,0.4,0.6,0.667,0.395,0.0,0.1,0.0,0.1,0.3,0.4,0.4,0.1,0.1,0.4,0.4,1.1,2019,2022,1836090.0,1998,0.01484849,SG,14.0,True,False,False,False,False,1,4
Admiral Schofield,2021,2.0,11.2,1.1,2.8,0.38,0.6,1.8,0.311,0.5,0.9,0.516,0.484,0.3,0.5,0.667,0.2,1.2,1.4,0.5,0.2,0.1,0.2,1.5,3.0,2019,2021,748811.5,1997,0.013246259,PF,33.0,False,False,True,False,False,1,3
Admiral Schofield,2022,0.387755102,10.24387755,1.203061224,2.82244898,0.423102041,0.568367347,1.733673469,0.337908163,0.620408163,1.08877551,0.554918367,0.525867347,0.342857143,0.405102041,0.654908163,0.405102041,1.292857143,1.697959184,0.643877551,0.114285714,0.076530612,0.430612245,1.279591837,3.317346939,2019,2023,1251873.0,1997,0.010123917,SF,98.0,False,True,False,False,False,2,4
Al Horford,2023,57.0923077,29.20346154,3.604615385,7.459230769,0.482361538,1.884615385,4.528461539,0.410057692,1.72,2.955769231,0.580161538,0.608753846,0.515384616,0.641923077,0.786219231,1.331153846,5.316923077,6.648076923,3.006153846,0.578076923,1.079615385,0.704615385,1.775,9.606153846,2007,2024,9750000.0,1986,0.072761194,C,164.5307692,False,False,False,True,False,2,17
Al Jefferson,2013,70.53956835,33.49496403,8.107194245,16.41438849,0.493122302,0.0,0.156115108,0.175928058,8.063309353,16.25827338,0.496928058,0.494122302,2.143884892,2.843884892,0.771755396,2.087769784,7.287769784,9.375539568,2.143884892,0.912230216,1.363309353,1.168345324,2.331654676,18.41438849,2004,2015,13500000.0,1985,0.221776843,C,70.53956835,False,False,True,False,False,3,10
Al Jefferson,2016,42.95535714,27.53660714,6.534821429,13.48571429,0.482678571,0.0,0.058035714,0.232142857,6.476785714,13.48571429,0.483258929,0.483258929,1.616071429,2.458035714,0.652482143,1.374107143,6.186607143,7.560714286,1.616071429,0.658035714,1.132142857,0.874107143,2.267857143,14.66964286,2004,2018,10000000.0,1993,0.103500383,C,57.44642857,False,False,False,True,False,3,13
Alan Anderson,2015,22.59210526,23.13815789,2.548684211,6.053947368,0.420934211,1.051315789,3.005263158,0.343381579,1.497368421,3.048684211,0.496131579,0.505986842,1.151315789,1.451315789,0.795578947,0.451315789,1.992105263,2.492105263,1.048684211,0.697368421,0.1,0.8,1.948684211,7.297368421,2005,2015,4000000.0,1982,0.057142857,SF,76.05263158,False,False,False,False,True,1,11
Alan Anderson,2016,16.16091954,22.28505747,2.450574713,5.690804598,0.43,0.985057471,2.8,0.344413793,1.465517241,2.890804598,0.51191954,0.51583908,1.055172414,1.370114943,0.800195402,0.355172414,2.255172414,2.695402299,1.1,0.725287356,0.1,0.710344828,1.985057471,7.04137931,2005,2016,1315448.0,1982,0.013972871,SG,64.88505747,False,False,False,False,True,1,12
Alan Williams,2017,0.0,13.64385965,2.566666667,5.121052632,0.49945614,0.0,0.0,0.0,2.566666667,5.121052632,0.501105263,0.49945614,1.394736842,2.224561404,0.628157895,1.894736842,3.884210526,5.778947368,0.5,0.564912281,0.664912281,0.764912281,2.489473684,6.610526316,2015,2019,5666667.0,1993,0.056395408,PF,40.50877193,False,False,False,False,True,3,3
Alec Burks,2019,12.58333333,19.82916667,2.903645833,7.098958333,0.40978125,0.8765625,2.475,0.331208333,1.984895833,4.630729167,0.448520833,0.467666667,1.7625,2.102083333,0.83575,0.430729167,3.033333333,3.4640625,1.673958333,0.6,0.246354167,0.98125,1.334375,8.413020833,2011,2019,2320044.0,1991,0.021257504,SG,106.6666667,False,False,False,False,True,1,9
Alec Burks,2020,17.26153846,24.08615385,3.962692308,9.538461537,0.414415385,1.388846154,3.619230769,0.358869231,2.567307692,5.968076923,0.444284615,0.481984616,2.703846154,3.126923077,0.852892308,0.611153846,3.356923077,3.993461539,2.443846154,0.756923077,0.307307692,1.209230769,1.661538462,11.94192308,2011,2020,6000000.0,1991,0.054975261,SG,130.0307692,False,False,False,False,True,1,10
Alec Burks,2021,13.15469613,26.32928177,4.730939227,11.23093922,0.419635359,1.88121547,4.704972375,0.393552486,2.849723757,6.588950277,0.437298342,0.502707183,3.1839779,3.583425415,0.875491713,0.635359116,3.696132597,4.367955801,2.683977901,0.825414365,0.296685083,1.285082873,1.964088398,14.39060774,2011,2023,10012800.0,1991,0.084829435,SF-SG,109.5303867,False,False,False,False,True,3,11
Aleem Ford,2022,0.0,14.8,1.2,4.0,0.3,0.4,3.0,0.133,0.8,1.0,0.8,0.35,0.0,0.0,0.0,0.4,2.6,3.0,0.4,0.2,0.0,0.8,1.4,2.8,2021,2022,1637966.0,1997,0.013246258,SF,5.0,False,False,True,False,False,1,2
Aleem Ford,2023,0.0,14.8,1.2,4.0,0.3,0.4,3.0,0.133,0.8,1.0,0.8,0.35,0.0,0.0,0.0,0.4,2.6,3.0,0.4,0.2,0.0,0.8,1.4,2.8,2021,2023,1801769.0,1997,0.013446037,SF,5.0,False,True,False,False,False,1,3
Aleksej Pokusevski,2023,13.14594594,18.61945946,2.702702703,6.457837838,0.410605405,0.890270271,2.79027027,0.3242,1.797297297,3.686486487,0.480713513,0.480983784,0.751351352,1.084324324,0.673481081,1.052972973,3.355675675,4.408648649,1.78,0.577297297,0.824864865,1.182162162,1.322162162,7.055135135,2020,2024,1419214.0,2001,0.010591149,PF,129.4972973,False,False,False,True,False,2,4
Alex Caruso,2019,5.790322581,17.61935484,2.085483871,4.632258065,0.436645161,0.641935484,1.522580645,0.373774194,1.443548387,3.169354839,0.476354839,0.497887097,1.164516129,1.525806452,0.739112903,0.561290323,1.601612903,2.162903226,2.443548387,0.761290323,0.340322581,1.341935484,1.722580645,5.858064516,2016,2020,2750000.0,1994,0.025196995,PG,32.16129032,False,True,False,False,False,2,4
Alex Caruso,2021,3.901639344,19.63606557,2.090163934,4.880327869,0.423409836,0.742622951,2.137704918,0.365327869,1.3,2.795081967,0.466098361,0.502393443,0.957377049,1.404918033,0.691688525,0.395081967,2.032786885,2.375409836,2.327868852,1.1,0.3,1.037704918,1.690163934,5.927868852,2016,2024,9245000.0,1994,0.074945483,PG,61.14754098,False,False,False,False,False,4,6
Alex Len,2017,40.03870968,21.80967742,3.201290323,7.006451613,0.45976129,0.0,0.149677419,0.196154839,3.151612903,6.906451613,0.464251613,0.461754839,2.050967742,2.901290323,0.724522581,2.150967742,4.952258065,7.103225806,0.901935484,0.5,1.048387097,1.601935484,2.999354839,8.503225806,2013,2017,4187598.0,1993,0.042259272,C,77.50322581,False,True,False,False,False,1,5
Alex Len,2018,24.07534247,20.25273973,3.047260274,5.76369863,0.529609589,0.0,0.105479452,0.289226027,2.994520548,5.66369863,0.533719178,0.531664384,2.089041096,2.983561644,0.703513699,2.23630137,4.789041096,7.025342466,0.883561644,0.452739726,1.110958904,1.205479452,2.721917808,8.23630137,2013,2019,4255000.0,1993,0.041769331,C,73.21917808,False,True,False,False,False,2,6
Alex Len,2020,18.45989305,18.63475936,3.62513369,6.867914438,0.531005348,0.593582888,1.709625668,0.33615508,3.031550802,5.15828877,0.591540107,0.568967915,1.460427808,2.267914438,0.648962567,1.926203209,3.794117647,5.700534759,0.993048128,0.405347594,0.886631016,1.131550802,2.423529412,9.257754011,2013,2020,1977877.5,1993,0.020689023,C,96.41176471,False,False,True,False,False,1,8
Alex Len,2021,25.40756303,16.35756303,2.930672269,5.001680672,0.585726891,0.205462185,0.707983193,0.31042437,2.698319328,4.323529412,0.628382353,0.607684874,1.160084034,1.841596638,0.636420168,1.492016807,3.367226891,4.902941177,0.842857143,0.344537815,0.940336134,0.934453782,2.144957983,7.225630252,2013,2022,3825300.0,1993,0.03402868,C,119.6806723,False,False,True,False,False,2,9
Alex Len,2023,3.553956835,9.992086331,1.243165467,2.298561151,0.56228777,0.056115108,0.212230216,0.080244605,1.215107914,2.086330935,0.594330935,0.567057554,0.596402877,0.915107913,0.643086331,1.04676259,1.896402878,2.943165467,0.869064748,0.228057554,0.55971223,0.74028777,1.624460431,3.182733813,2013,2023,3196448.0,1993,0.02385409,C,96.72661871,False,False,False,True,False,1,11
Alex Poythress,2017,1.0,26.2,4.2,9.0,0.463,1.0,3.2,0.316,3.2,5.8,0.543,0.519,1.3,1.7,0.8,1.8,3.0,4.8,0.8,0.5,0.3,0.5,2.3,10.7,2016,2018,1161810.0,1993,0.011724441,PF,6.0,True,False,False,False,False,2,2
Alfonzo McKinnie,2018,0.0,3.8,0.6,1.1,0.533,0.2,0.6,0.333,0.4,0.4,0.833,0.633,0.1,0.2,0.667,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.6,1.5,2017,2019,1409095.0,1992,0.014418587,SF,14.0,True,False,False,False,False,2,2
Alfonzo McKinnie,2019,4.186046512,12.25581395,1.688372093,3.360465116,0.494488372,0.534883721,1.437209302,0.352255814,1.153488372,1.906976744,0.626209302,0.575232558,0.351162791,0.618604651,0.579930233,0.937209302,1.990697674,2.927906977,0.351162791,0.26744186,0.18372093,0.36744186,1.688372093,4.179069767,2017,2022,921947.5,1992,0.016644442,SF,62.55813953,False,False,False,False,True,4,3
